isin,nav,nav_date
INF740K01OX4,11.5178,05-Aug-2025
INF740KA1NY0,11.1351,05-Aug-2025
INF740K01581,12.0021,05-Aug-2025
-,11.1219,05-Aug-2025
INF740K01JW6,11.2661,05-Aug-2025
INF740K01JY2,11.3897,05-Aug-2025
INF740K01FR4,11.1321,05-Aug-2025
INF740K01599,49.9478,05-Aug-2025
INF090I01VZ8,0.0,05-Aug-2025
INF090I01VX3,0.0,05-Aug-2025
INF090I01VW5,0.0,05-Aug-2025
INF090I01VY1,0.0,05-Aug-2025
INF179KA1GC0,24.294,05-Aug-2025
INF179KA1FZ3,26.263,05-Aug-2025
INF179KA1I87,22.3708,05-Aug-2025
INF179KA1I61,23.0223,05-Aug-2025
INF179KA1GA4,10.7553,05-Aug-2025
INF179KA1GD8,10.4218,05-Aug-2025
INF917K01UL0,13.9195,05-Aug-2025
INF917K01UH8,35.3085,05-Aug-2025
INF917K01E29,12.4522,05-Aug-2025
INF917K01UN6,12.8716,05-Aug-2025
INF917K01130,32.5452,05-Aug-2025
INF917K01114,11.4335,05-Aug-2025
-,32.0303,05-Aug-2025
INF109K01V00,35.4141,05-Aug-2025
INF109K01V34,11.9096,05-Aug-2025
INF109K01GU4,32.1169,05-Aug-2025
INF109K01GV2,11.2196,05-Aug-2025
INF205K01J09,2185.6083,05-Aug-2025
INF205K01I83,2169.4147,05-Aug-2025
INF205K01I91,1179.3679,05-Aug-2025
INF205K01I59,1946.3271,05-Aug-2025
INF205K01I34,1946.9318,05-Aug-2025
INF205K01I42,1429.867,05-Aug-2025
INF174K01MG5,25.1697,05-Aug-2025
INF174K01DY7,29.7644,05-Aug-2025
INF174K01LZ7,33.5106,05-Aug-2025
INF174K01EG2,12.9442,05-Aug-2025
INF204K01FQ3,35.4408,05-Aug-2025
INF204K01FT7,36.9929,05-Aug-2025
INF204KB17P0,0.0,05-Aug-2025
INF204KB15P4,0.0,05-Aug-2025
INF204KB13Q7,0.0,05-Aug-2025
INF204KB11Q1,0.0,05-Aug-2025
INF204K01A74,39.0278,05-Aug-2025
INF204KA1WV6,21.1306,05-Aug-2025
INF204K01A82,13.7466,05-Aug-2025
INF204KA1WT0,19.4402,05-Aug-2025
INF204K01FR1,13.1441,05-Aug-2025
INF204KB14P7,0.0,05-Aug-2025
INF204KB19P6,0.0,05-Aug-2025
INF204KB10Q3,0.0,05-Aug-2025
-,15.8038,05-Aug-2025
