isin,nav,nav_date
INF205K01I34,1978.2232,11-Dec-2025
INF205K01I42,1452.848,11-Dec-2025
INF174K01MG5,25.8988,11-Dec-2025
INF174K01DY7,30.5284,11-Dec-2025
INF174K01LZ7,34.4814,11-Dec-2025
INF174K01EG2,13.2764,11-Dec-2025
INF204K01FQ3,36.1854,11-Dec-2025
INF204K01FT7,37.7711,11-Dec-2025
INF204KB17P0,0.0,11-Dec-2025
INF204KB15P4,0.0,11-Dec-2025
INF204KB13Q7,0.0,11-Dec-2025
INF204KB11Q1,0.0,11-Dec-2025
INF204K01A74,39.9518,11-Dec-2025
INF204KA1WV6,21.6309,11-Dec-2025
INF204K01A82,13.8119,11-Dec-2025
INF204KA1WT0,19.8486,11-Dec-2025
INF204K01FR1,13.1942,11-Dec-2025
INF204KB14P7,0.0,11-Dec-2025
INF204KB19P6,0.0,11-Dec-2025
INF204KB10Q3,0.0,11-Dec-2025
-,16.1486,11-Dec-2025
INF200K01ST8,23.6828,11-Dec-2025
INF200K01SV4,50.8915,11-Dec-2025
-,15.5535,11-Dec-2025
INF200K01685,46.9928,11-Dec-2025
INF200K01693,21.2447,11-Dec-2025
INF789F1ARG8,0.0,11-Dec-2025
INF789F1ARK0,0.0,11-Dec-2025
INF789F1ARF0,0.0,11-Dec-2025
INF789F1ARI4,0.0,11-Dec-2025
INF789F1ARM6,0.0,11-Dec-2025
INF789F1ARD5,0.0,11-Dec-2025
INF789F1ARR5,0.0,11-Dec-2025
INF789F1ARV7,0.0,11-Dec-2025
INF789F1ARQ7,0.0,11-Dec-2025
INF789F1ART1,0.0,11-Dec-2025
INF789F1ARX3,0.0,11-Dec-2025
INF789F1ARO2,0.0,11-Dec-2025
INF789F01QZ1,17.5508,11-Dec-2025
INF789FB1U28,12.6193,11-Dec-2025
INF789FB1U44,12.624,11-Dec-2025
INF789F01YB6,19.8906,11-Dec-2025
INF789FA1W02,12.669,11-Dec-2025
INF789FB1U02,11.2738,11-Dec-2025
INF789F01YC4,14.0358,11-Dec-2025
INF789FA1V60,11.7113,11-Dec-2025
INF789FA1V86,11.3933,11-Dec-2025
INF789FA1V45,11.7739,11-Dec-2025
INF789FB1T88,10.5395,11-Dec-2025
INF789F01RA2,12.4667,11-Dec-2025
INF579M01183,23.2839,11-Dec-2025
INF579M01266,24.5921,11-Dec-2025
INF579M01282,14.0882,11-Dec-2025
INF579M01290,22.6903,11-Dec-2025
INF579M01191,23.2838,11-Dec-2025
INF579M01225,22.4688,11-Dec-2025
INF579M01209,13.0305,11-Dec-2025
INF579M01217,22.469,11-Dec-2025
INF209K01N82,50.6317,11-Dec-2025
INF209K01793,47.0752,11-Dec-2025
INF209KA1TX3,13.5164,11-Dec-2025
INF209K01R62,11.1086,11-Dec-2025
INF209K01R88,11.0546,11-Dec-2025
INF209KA1TV7,12.4539,11-Dec-2025
INF209K01801,10.6436,11-Dec-2025
INF209K01819,10.7738,11-Dec-2025
INF209K01JW2,32.5534,11-Dec-2025
INF846K01DI3,33.1383,11-Dec-2025
INF846K01DJ1,12.7778,11-Dec-2025
INF846K01DL7,11.3019,11-Dec-2025
INF846K01917,30.1339,11-Dec-2025
INF846K01941,11.6561,11-Dec-2025
INF846K01925,11.3385,11-Dec-2025
INF194K01QI0,11.5078,11-Dec-2025
INF194K01QL4,11.2398,11-Dec-2025
INF194K01QG4,33.9906,11-Dec-2025
INF194K018R9,10.8136,11-Dec-2025
INF194K01QO8,12.9968,11-Dec-2025
INF194KA1TM3,13.5071,11-Dec-2025
INF194K01O13,11.7982,11-Dec-2025
INF194K01N63,37.9244,11-Dec-2025
INF194K011P8,11.0303,11-Dec-2025
INF194K01O47,16.2821,11-Dec-2025
INF194KA1TP6,13.2977,11-Dec-2025
INF194K01N89,13.4953,11-Dec-2025
-,10.0061,11-Dec-2025
INF251K01GW0,51.0594,11-Dec-2025
INF251K01HD8,10.0,28-Jun-2024
INF251K01GZ3,10.5687,11-Dec-2025
INF251K01HB2,10.6011,11-Dec-2025
-,9.9879,11-Dec-2025
-,9.9564,11-Dec-2025
INF251K01DW7,45.6581,11-Dec-2025
INF251K01ED5,10.0193,11-Dec-2025
INF251K01DZ0,10.0888,11-Dec-2025
INF251K01EB9,10.1537,11-Dec-2025
-,9.9371,11-Dec-2025
INF251K01EF0,32.1532,11-Dec-2025
INF760K01EC7,32.3887,11-Dec-2025
INF760K01EA1,15.3709,11-Dec-2025
INF760K01449,29.2206,11-Dec-2025
INF760K01423,13.7118,11-Dec-2025
INF740K01QG4,3592.2509,11-Dec-2025
INF740K01QI0,2447.4898,11-Dec-2025
